tipo_doc,cpf,nome_aluno,turma_1,turma_2,ausencia_inicio,ausencia_fim,data_ausencia
DECLARACAO,31011906147,WELLINGTON CARDOSO,0263,0981,2026-06-16,2026-06-18,2026-06-15 00:00:00
ATESTADO MEDICO,86556854964,EDSON FERNANDES,2983,0101,2024-02-15,2024-02-20,2024-02-15 00:00:00
ATESTADO MEDICO,27269177040,WELLINGTON CARDOSO,0453,,2024-06-17,2024-06-18,2024-06-15 00:00:00
ATESTADO MEDICO,86651484001,RODRIGO SALES,0001,0261,2025-04-30,2025-05-08,2025-04-30 00:00:00
DECLARACAO,59314348601,CLAUDIA SOARES,0103,0002,2025-12-23,2026-01-02,2025-12-21 00:00:00
ATESTADO MEDICO,34395847200,MATHEUS DIAS,2983,,2024-10-02,2024-10-06,2024-09-30 00:00:00
ATESTADO MEDICO,66511060900,ROBERTO CARVALHO,0450,0981,2026-03-24,2026-04-03,2026-03-23 00:00:00
DECLARACAO,02572943760,VITOR ARAUJO,0261,0981,2026-09-09,2026-09-17,2026-09-07 00:00:00
ATESTADO MEDICO,95343443117,EDUARDO FREITAS,0102,0101,2025-05-16,2025-05-19,2025-05-14 00:00:00
DECLARACAO,99382175750,RAFAEL PEREIRA,0263,,2023-09-24,2023-09-30,2023-09-22 00:00:00
ATESTADO MEDICO,73566736309,CAROLINA CAMPOS,0001,0261,2026-05-22,2026-05-29,2026-05-22 00:00:00
DECLARACAO,70181547317,RICARDO RAMOS,0980,0101,2026-08-24,2026-08-28,2026-08-24 00:00:00
ATESTADO MEDICO,88878162809,LEANDRO ARAUJO,0001,2981,2026-11-30,2026-12-09,2026-11-28 00:00:00
ATESTADO MEDICO,70358683726,FLAVIA MIRANDA,0101,,2026-06-06,2026-06-13,2026-06-05 00:00:00
DECLARACAO,26027480300,RICARDO REZENDE,0454,0261,2025-07-05,2025-07-15,2025-07-05 00:00:00
DECLARACAO,00999673165,CESAR RAMOS,0453,0101,2025-01-16,2025-01-17,2025-01-14 00:00:00
ATESTADO MEDICO,88878162809,PATRICIA AZEVEDO,0262,,2026-09-04,2026-09-05,2026-09-04 00:00:00
ATESTADO MEDICO,24385340870,DEBORA FONSECA,0983,0051,2023-10-18,2023-10-26,2023-10-16 00:00:00
ATESTADO MEDICO,39577233295,ANDERSON PEREIRA,2983,,2024-03-15,2024-03-23,2024-03-13 00:00:00
ATESTADO MEDICO,60041864492,FABIANO BATISTA,0003,,2026-03-28,2026-03-30,2026-03-28 00:00:00
ATESTADO MEDICO,75038702228,MARCIO TEIXEIRA,0451,2981,2023-01-07,2023-01-16,2023-01-05 00:00:00
ATESTADO MEDICO,35930808180,PEDRO OLIVEIRA,0053,0002,2023-06-05,2023-06-10,2023-06-05 00:00:00
ATESTADO MEDICO,44497051811,VANESSA AZEVEDO,0102,0051,2023-04-05,2023-04-15,2023-04-04 00:00:00
ATESTADO MEDICO,43388572429,CAROLINA CAMPOS,0002,0051,2026-11-04,2026-11-14,2026-11-02 00:00:00
ATESTADO MEDICO,00215941470,MONICA VIEIRA,0050,0981,2026-07-15,2026-07-25,2026-07-15 00:00:00
ATESTADO MEDICO,89058289222,DANIEL CARDOSO,0052,0261,2023-04-02,2023-04-11,2023-04-02 00:00:00
ATESTADO MEDICO,28859083869,CAROLINA CAMPOS,0103,2981,2025-04-20,2025-04-21,2025-04-19 00:00:00
ATESTADO MEDICO,30768631505,JULIA RODRIGUES,2980,0051,2025-01-06,2025-01-14,2025-01-06 00:00:00
DECLARACAO,71871271207,FERNANDO MENDES,1982,0451,2025-03-07,2025-03-17,2025-03-05 00:00:00
DECLARACAO,45662808023,ANA COSTA,2983,0981,2023-12-11,2023-12-19,2023-12-10 00:00:00
ATESTADO MEDICO,55530954847,NATALIA CAMPOS,0260,,2025-09-06,2025-09-15,2025-09-06 00:00:00
ATESTADO MEDICO,50922173834,BRUNO RIBEIRO,0453,0451,2025-10-15,2025-10-19,2025-10-15 00:00:00
ATESTADO MEDICO,25767791740,BRUNO RIBEIRO,1983,0261,2026-05-04,2026-05-10,2026-05-04 00:00:00
DECLARACAO,16236172196,ADRIANA LOPES,0261,2981,2024-08-05,2024-08-14,2024-08-05 00:00:00
DECLARACAO,26071297370,MARCIA SOARES,0101,,2024-03-27,2024-03-28,2024-03-26 00:00:00
ATESTADO MEDICO,63226891502,ALINE MORAES,1981,,2023-12-18,2023-12-21,2023-12-17 00:00:00
ATESTADO MEDICO,58880896563,DEBORA FONSECA,2982,,2023-08-22,2023-08-31,2023-08-21 00:00:00
ATESTADO MEDICO,09994758195,MARCIO TEIXEIRA,0454,,2027-01-19,2027-01-24,2027-01-19 00:00:00
DECLARACAO,26118795592,RONALDO RIBAS,0263,0981,2025-06-24,2025-07-03,2025-06-24 00:00:00
ATESTADO MEDICO,81918341117,ROSANA ROCHA,0980,0002,2023-01-03,2023-01-05,2023-01-02 00:00:00
ATESTADO MEDICO,81710774800,VITOR ARAUJO,0450,0981,2026-03-17,2026-03-20,2026-03-17 00:00:00
ATESTADO MEDICO,73961882452,ROSANA ROCHA,0052,,2023-07-04,2023-07-09,2023-07-04 00:00:00
ATESTADO MEDICO,76549728576,CESAR RAMOS,0261,,2026-08-17,2026-08-19,2026-08-16 00:00:00
ATESTADO MEDICO,43233892640,RAFAEL PEREIRA,0052,0051,2023-11-21,2023-11-23,2023-11-21 00:00:00
ATESTADO MEDICO,73250934208,LEONARDO DUARTE,0101,0451,2026-01-18,2026-01-21,2026-01-16 00:00:00
ATESTADO MEDICO,03152092326,RENATO FERNANDES,0452,,2024-01-23,2024-01-31,2024-01-22 00:00:00
ATESTADO MEDICO,92519199172,JEFFERSON DUARTE,1982,0101,2024-02-09,2024-02-12,2024-02-08 00:00:00
DECLARACAO,34309075355,LUCIANO BARROS,0004,0451,2023-04-07,2023-04-09,2023-04-07 00:00:00
ATESTADO MEDICO,80697537145,FABIO BATISTA,0104,,2026-03-01,2026-03-09,2026-02-28 00:00:00
ATESTADO MEDICO,85472876125,ANA COSTA,0263,0261,2027-01-21,2027-01-23,2027-01-19 00:00:00
DECLARACAO,93527520155,SABRINA DIAS,0260,0261,2026-12-26,2027-01-01,2026-12-24 00:00:00
ATESTADO MEDICO,40542509202,CAMILA GOMES,0005,1981,2023-08-10,2023-08-19,2023-08-08 00:00:00
DECLARACAO,65149694100,LUCIENE MORAES,2982,,2026-02-11,2026-02-21,2026-02-11 00:00:00
ATESTADO MEDICO,75784957040,JESSICA CARDOSO,0003,,2024-07-25,2024-07-31,2024-07-23 00:00:00
ATESTADO MEDICO,45662808023,ANDRE BARROS,0103,,2026-02-21,2026-02-26,2026-02-19 00:00:00
ATESTADO MEDICO,15804547631,EVANDRO COSTA,0452,0981,2026-06-11,2026-06-16,2026-06-10 00:00:00
ATESTADO MEDICO,58427249870,NATALIA CAMPOS,0980,0981,2024-03-16,2024-03-23,2024-03-16 00:00:00
ATESTADO MEDICO,09994758195,BEATRIZ LIMA,0262,0261,2024-11-30,2024-12-02,2024-11-30 00:00:00
ATESTADO MEDICO,86556854964,MATHEUS DIAS,1983,,2023-06-25,2023-07-05,2023-06-23 00:00:00
ATESTADO MEDICO,43680664648,RODRIGO CAVALCANTI,0454,0051,2023-02-15,2023-02-20,2023-02-13 00:00:00
ATESTADO MEDICO,71985841444,BRUNO RIBEIRO,0983,0261,2024-04-30,2024-05-05,2024-04-29 00:00:00
DECLARACAO,79823047022,JULIA RODRIGUES,0052,,2023-04-15,2023-04-20,2023-04-13 00:00:00
ATESTADO MEDICO,18754176301,RENAN MELO,1982,,2025-07-22,2025-07-23,2025-07-20 00:00:00
DECLARACAO,32468506316,LETICIA PINTO,1981,2981,2024-06-16,2024-06-22,2024-06-16 00:00:00
DECLARACAO,33406086799,CAROLINA NUNES,0981,1981,2024-02-29,2024-03-09,2024-02-27 00:00:00
DECLARACAO,20467112118,WILLIAN CASTRO,2983,2981,2025-07-11,2025-07-12,2025-07-09 00:00:00
ATESTADO MEDICO,32547410133,PATRICIA ROCHA,2983,0451,2026-03-03,2026-03-06,2026-03-03 00:00:00
ATESTADO MEDICO,34395847200,MAURICIO LIMA,2980,0002,2023-09-05,2023-09-07,2023-09-05 00:00:00
ATESTADO MEDICO,87226199416,ALINE MORAES,0453,0981,2024-01-30,2024-02-09,2024-01-29 00:00:00
ATESTADO MEDICO,33049259701,FERNANDO MENDES,0102,0051,2023-07-08,2023-07-12,2023-07-08 00:00:00
DECLARACAO,24385340870,BEATRIZ LIMA,0983,0261,2025-09-26,2025-10-01,2025-09-24 00:00:00
DECLARACAO,86402505960,FELIPE CASTRO,0453,2981,2024-01-13,2024-01-21,2024-01-12 00:00:00
ATESTADO MEDICO,81890163775,MAURICIO LIMA,0263,0981,2023-04-30,2023-05-03,2023-04-29 00:00:00
ATESTADO MEDICO,93648399004,ELAINE BARBOSA,0102,,2024-08-01,2024-08-06,2024-07-31 00:00:00
ATESTADO MEDICO,36833417180,VANESSA PIRES,0101,0002,2025-07-16,2025-07-25,2025-07-15 00:00:00
DECLARACAO,24348251681,ROSANA ROCHA,2981,0451,2023-10-30,2023-10-31,2023-10-28 00:00:00
DECLARACAO,89987146201,ADRIANA LOPES,0980,,2024-12-27,2025-01-01,2024-12-26 00:00:00
DECLARACAO,49197254851,ADRIANA LOPES,0101,2981,2026-03-04,2026-03-05,2026-03-04 00:00:00
DECLARACAO,30095966692,FABIO BATISTA,0453,0451,2026-01-22,2026-01-27,2026-01-21 00:00:00
ATESTADO MEDICO,73566736309,ROGERIO SOUZA,0053,1981,2026-01-28,2026-02-03,2026-01-26 00:00:00
ATESTADO MEDICO,37667347840,FLAVIA MIRANDA,0451,,2023-06-23,2023-06-29,2023-06-23 00:00:00
DECLARACAO,90053873947,GABRIEL MARTINS,0450,1981,2023-07-08,2023-07-11,2023-07-06 00:00:00
DECLARACAO,38009252654,DANIELA XAVIER,0003,0051,2025-08-10,2025-08-12,2025-08-10 00:00:00
DECLARACAO,05642666126,VANESSA AZEVEDO,0262,,2023-03-11,2023-03-20,2023-03-10 00:00:00
ATESTADO MEDICO,79450370702,VIVIANE MONTEIRO,0263,0101,2023-04-29,2023-04-30,2023-04-27 00:00:00
DECLARACAO,80911632409,VANESSA PIRES,0100,0051,2025-04-17,2025-04-22,2025-04-17 00:00:00
DECLARACAO,26001826161,ROBERTO CARVALHO,0453,0002,2023-07-01,2023-07-05,2023-06-30 00:00:00
DECLARACAO,48926799921,CLAUDIO FERREIRA,0451,0261,2026-09-16,2026-09-21,2026-09-16 00:00:00
ATESTADO MEDICO,80697537145,JESSICA CARDOSO,0983,0451,2026-05-11,2026-05-12,2026-05-10 00:00:00
ATESTADO MEDICO,08506856051,ANDREA FARIAS,0100,1981,2023-03-13,2023-03-23,2023-03-11 00:00:00
DECLARACAO,13816482902,EDUARDO FREITAS,0980,0051,2025-09-03,2025-09-10,2025-09-01 00:00:00
DECLARACAO,89856554187,LEANDRO ARAUJO,0263,0451,2025-08-17,2025-08-21,2025-08-15 00:00:00
ATESTADO MEDICO,42386990257,ADRIANA LOPES,0451,0451,2025-10-30,2025-11-08,2025-10-29 00:00:00
ATESTADO MEDICO,88490416249,ISABELA CUNHA,0261,0051,2026-12-18,2026-12-22,2026-12-18 00:00:00
ATESTADO MEDICO,14027952979,DANIEL CARDOSO,0104,1981,2023-11-10,2023-11-18,2023-11-10 00:00:00
DECLARACAO,24046932988,LUCIANO BARROS,0104,,2025-05-29,2025-06-02,2025-05-28 00:00:00
DECLARACAO,09762375122,WILLIAN CASTRO,1980,0002,2023-02-12,2023-02-18,2023-02-12 00:00:00
DECLARACAO,16560025071,ROGERIO SOUZA,0453,0981,2024-08-21,2024-08-31,2024-08-21 00:00:00
ATESTADO MEDICO,66511060900,DIEGO BARBOSA,0005,0261,2024-07-06,2024-07-07,2024-07-04 00:00:00
ATESTADO MEDICO,48926799921,CLAUDIO FERREIRA,2982,1981,2023-06-01,2023-06-11,2023-05-30 00:00:00
ATESTADO MEDICO,54238570405,LUCAS FERREIRA,2982,0261,2023-07-24,2023-07-26,2023-07-24 00:00:00
DECLARACAO,33071962002,VIVIANE MONTEIRO,2981,0261,2025-06-20,2025-06-26,2025-06-20 00:00:00
ATESTADO MEDICO,85333264406,JEFFERSON DUARTE,0002,2981,2025-10-26,2025-10-27,2025-10-25 00:00:00
ATESTADO MEDICO,25308152756,LEONARDO DUARTE,0051,0101,2026-03-13,2026-03-21,2026-03-11 00:00:00
ATESTADO MEDICO,67810459970,CRISTINA ALVES,0262,,2026-04-05,2026-04-07,2026-04-03 00:00:00
DECLARACAO,16236172196,TATIANA SILVA,0454,,2024-10-17,2024-10-27,2024-10-17 00:00:00
ATESTADO MEDICO,60132053705,SILVIA LOPES,0452,,2023-12-14,2023-12-23,2023-12-12 00:00:00
ATESTADO MEDICO,50599409002,ALEXANDRE COSTA,0053,0261,2025-04-01,2025-04-10,2025-03-30 00:00:00
ATESTADO MEDICO,25760943685,CLAUDIO FERREIRA,0454,1981,2024-07-11,2024-07-19,2024-07-11 00:00:00
ATESTADO MEDICO,47748530700,DANIELA XAVIER,0102,,2024-05-09,2024-05-16,2024-05-09 00:00:00
ATESTADO MEDICO,28339438735,RICARDO RAMOS,0053,0051,2024-11-07,2024-11-16,2024-11-06 00:00:00
ATESTADO MEDICO,80697537145,RENATA VIEIRA,0450,0051,2025-09-10,2025-09-18,2025-09-10 00:00:00
ATESTADO MEDICO,40965650405,LUCIANA FARIAS,2982,0101,2023-10-20,2023-10-22,2023-10-20 00:00:00
DECLARACAO,64205383940,LUCAS FERREIRA,0050,1981,2024-11-22,2024-11-30,2024-11-22 00:00:00
ATESTADO MEDICO,57206008682,ADRIANA LOPES,0003,0002,2026-08-29,2026-09-07,2026-08-29 00:00:00
ATESTADO MEDICO,58314791105,CLAUDIO FERREIRA,0454,0981,2026-10-09,2026-10-17,2026-10-09 00:00:00
ATESTADO MEDICO,62755985224,AMANDA NASCIMENTO,0100,0261,2025-03-23,2025-03-25,2025-03-23 00:00:00
ATESTADO MEDICO,44474383990,BIANCA MONTEIRO,0102,,2024-06-27,2024-06-30,2024-06-27 00:00:00
DECLARACAO,52567899618,TATIANA SILVA,1983,0101,2026-09-21,2026-09-25,2026-09-19 00:00:00
ATESTADO MEDICO,89987146201,GUSTAVO REZENDE,0451,0101,2023-07-11,2023-07-20,2023-07-10 00:00:00
ATESTADO MEDICO,92999606907,FERNANDO MENDES,0050,0981,2023-12-30,2023-12-31,2023-12-28 00:00:00
ATESTADO MEDICO,85468210541,LUCAS FERREIRA,0454,0981,2024-03-23,2024-04-02,2024-03-21 00:00:00
ATESTADO MEDICO,59402647430,PRISCILA NEVES,1981,0981,2024-02-29,2024-03-02,2024-02-29 00:00:00
ATESTADO MEDICO,80716237768,CARLOS ALMEIDA,0003,0051,2023-04-08,2023-04-12,2023-04-08 00:00:00
ATESTADO MEDICO,25802205695,BRUNO RIBEIRO,0262,0101,2025-04-24,2025-04-28,2025-04-24 00:00:00
ATESTADO MEDICO,26071297370,MARCELO LIMA,0100,0981,2025-01-21,2025-01-29,2025-01-19 00:00:00
ATESTADO MEDICO,85472876125,CLAUDIO FERREIRA,2982,1981,2023-04-19,2023-04-29,2023-04-18 00:00:00
DECLARACAO,14738435965,HENRIQUE MENDES,1982,0002,2026-04-16,2026-04-21,2026-04-16 00:00:00
ATESTADO MEDICO,58314791105,PEDRO OLIVEIRA,0983,,2026-09-25,2026-09-29,2026-09-23 00:00:00
ATESTADO MEDICO,21237280559,RODRIGO CAVALCANTI,0453,0101,2026-02-05,2026-02-08,2026-02-03 00:00:00
DECLARACAO,73692308302,VANESSA PIRES,0051,0101,2023-05-06,2023-05-14,2023-05-06 00:00:00
ATESTADO MEDICO,93653265320,LUCIANO BARROS,0450,0981,2023-10-29,2023-11-03,2023-10-27 00:00:00
ATESTADO MEDICO,02572943760,LEONARDO DUARTE,1980,,2025-09-19,2025-09-24,2025-09-17 00:00:00
ATESTADO MEDICO,96923551951,SABRINA DIAS,0002,1981,2026-10-19,2026-10-28,2026-10-17 00:00:00
DECLARACAO,60247940453,ROGERIO SOUZA,0261,0451,2023-09-05,2023-09-14,2023-09-04 00:00:00
ATESTADO MEDICO,37118165689,PATRICIA ROCHA,0980,0002,2024-05-02,2024-05-03,2024-05-01 00:00:00
DECLARACAO,34212149486,FERNANDO MENDES,0103,1981,2025-09-20,2025-09-23,2025-09-18 00:00:00
DECLARACAO,84470285269,MARCELO LIMA,1981,0451,2026-11-26,2026-11-27,2026-11-25 00:00:00
DECLARACAO,52978343338,FERNANDA SOUZA,0102,0051,2026-06-17,2026-06-26,2026-06-15 00:00:00
DECLARACAO,43680664648,MARINA GONCALVES,0053,0051,2023-09-21,2023-09-30,2023-09-20 00:00:00
ATESTADO MEDICO,05984215721,KARINA PINTO,0980,,2026-02-10,2026-02-20,2026-02-10 00:00:00
ATESTADO MEDICO,73692308302,VANESSA PIRES,1982,0451,2026-07-01,2026-07-02,2026-07-01 00:00:00
ATESTADO MEDICO,48013704700,EDSON FERNANDES,0004,,2024-10-31,2024-11-10,2024-10-30 00:00:00
DECLARACAO,66807053630,MARCIO TEIXEIRA,0103,1981,2025-01-14,2025-01-20,2025-01-14 00:00:00
ATESTADO MEDICO,88790069757,AMANDA NASCIMENTO,0454,0002,2024-07-01,2024-07-08,2024-06-30 00:00:00
ATESTADO MEDICO,33246330107,EVANDRO COSTA,0100,0101,2026-09-13,2026-09-19,2026-09-11 00:00:00
DECLARACAO,60357275659,RODRIGO CAVALCANTI,0005,0002,2023-12-02,2023-12-10,2023-12-01 00:00:00
ATESTADO MEDICO,46030351524,LETICIA PINTO,0263,0002,2026-10-03,2026-10-08,2026-10-01 00:00:00
ATESTADO MEDICO,48926799921,FABIANO BATISTA,0983,0451,2024-07-09,2024-07-10,2024-07-09 00:00:00
ATESTADO MEDICO,96772973844,FABIANO BATISTA,0102,1981,2026-03-28,2026-03-30,2026-03-26 00:00:00
DECLARACAO,88390565641,CLAUDIA SOARES,2981,0051,2025-11-13,2025-11-15,2025-11-13 00:00:00
DECLARACAO,66511060900,MARCELO LIMA,0004,2981,2025-08-03,2025-08-12,2025-08-02 00:00:00
ATESTADO MEDICO,94956953763,SIMONE PIRES,0982,0002,2024-06-08,2024-06-10,2024-06-06 00:00:00
ATESTADO MEDICO,62196964921,LEANDRO ARAUJO,0980,,2023-03-06,2023-03-15,2023-03-05 00:00:00
ATESTADO MEDICO,50599409002,MARCELO CORREIA,0981,2981,2025-02-24,2025-03-05,2025-02-22 00:00:00
DECLARACAO,23270042760,CARLOS ALMEIDA,0104,2981,2025-12-24,2025-12-27,2025-12-24 00:00:00
ATESTADO MEDICO,95343443117,JULIA RODRIGUES,0981,,2024-09-23,2024-09-30,2024-09-22 00:00:00
ATESTADO MEDICO,01432820427,MARIANA TEIXEIRA,0004,0051,2024-08-11,2024-08-15,2024-08-11 00:00:00
ATESTADO MEDICO,79828212358,DIEGO BARBOSA,0263,0002,2023-11-30,2023-12-10,2023-11-28 00:00:00
ATESTADO MEDICO,15149372471,EDSON FERNANDES,0003,0101,2024-06-06,2024-06-14,2024-06-04 00:00:00
DECLARACAO,01929848374,ANDERSON PEREIRA,0450,,2023-05-06,2023-05-10,2023-05-06 00:00:00
ATESTADO MEDICO,01627906606,FELIPE CASTRO,0450,,2024-02-26,2024-03-02,2024-02-26 00:00:00
DECLARACAO,42086243456,VANESSA AZEVEDO,0102,0451,2025-09-11,2025-09-18,2025-09-11 00:00:00
ATESTADO MEDICO,19646480683,MARCOS CORREIA,1980,,2024-07-20,2024-07-30,2024-07-20 00:00:00
DECLARACAO,73692308302,ADRIANA LOPES,0982,1981,2023-04-23,2023-04-30,2023-04-21 00:00:00
DECLARACAO,88790069757,NATALIA CAMPOS,1980,0981,2026-12-11,2026-12-16,2026-12-09 00:00:00
ATESTADO MEDICO,54931583881,RAFAEL PEREIRA,0051,0051,2024-11-30,2024-12-07,2024-11-28 00:00:00
ATESTADO MEDICO,92999606907,MARCIO TEIXEIRA,2983,,2024-04-30,2024-05-01,2024-04-29 00:00:00
ATESTADO MEDICO,69540711533,LUCIANA FARIAS,0263,0002,2023-03-18,2023-03-28,2023-03-18 00:00:00
ATESTADO MEDICO,13050226102,PAULO SANTANA,0453,,2025-09-25,2025-09-28,2025-09-25 00:00:00
ATESTADO MEDICO,57046619204,RODRIGO SALES,0980,2981,2025-11-01,2025-11-11,2025-10-31 00:00:00
ATESTADO MEDICO,28339438735,ANDREIA CUNHA,0103,1981,2026-04-03,2026-04-08,2026-04-03 00:00:00
DECLARACAO,90413108279,DANIELA XAVIER,0263,,2026-10-29,2026-11-02,2026-10-27 00:00:00
ATESTADO MEDICO,83850719707,DANIEL CARDOSO,0050,0261,2023-05-14,2023-05-19,2023-05-13 00:00:00
DECLARACAO,13744467341,MARCOS CORREIA,2983,,2023-04-11,2023-04-19,2023-04-11 00:00:00
ATESTADO MEDICO,57206008682,ISABELA CUNHA,0100,0101,2023-06-22,2023-06-27,2023-06-20 00:00:00
ATESTADO MEDICO,88815760318,ALEX MELO,0002,0451,2023-07-18,2023-07-22,2023-07-18 00:00:00
ATESTADO MEDICO,25308152756,JESSICA CARDOSO,0982,2981,2024-04-09,2024-04-13,2024-04-09 00:00:00
DECLARACAO,77888193102,ANA COSTA,1981,,2026-09-07,2026-09-08,2026-09-06 00:00:00
DECLARACAO,78221279420,ANDRE BARROS,0053,,2024-05-08,2024-05-12,2024-05-08 00:00:00
DECLARACAO,00453338585,ROGERIO SOUZA,0980,0261,2024-02-18,2024-02-28,2024-02-17 00:00:00
ATESTADO MEDICO,23711689124,SIMONE PIRES,0051,0261,2023-04-01,2023-04-04,2023-03-31 00:00:00
DECLARACAO,88790069757,AMANDA NASCIMENTO,2983,0101,2025-12-30,2026-01-08,2025-12-30 00:00:00
ATESTADO MEDICO,09352413105,LEONARDO DUARTE,0002,,2026-02-07,2026-02-16,2026-02-05 00:00:00
ATESTADO MEDICO,12047863309,VITOR ARAUJO,0103,0451,2023-06-12,2023-06-20,2023-06-12 00:00:00
ATESTADO MEDICO,88062062490,LUCIENE MORAES,0452,0451,2025-07-22,2025-07-30,2025-07-21 00:00:00
ATESTADO MEDICO,01312012471,CRISTINA ALVES,0050,0101,2024-02-22,2024-02-25,2024-02-22 00:00:00
ATESTADO MEDICO,56627164205,EVANDRO COSTA,0100,0261,2023-08-26,2023-08-28,2023-08-24 00:00:00
DECLARACAO,32456734777,PATRICIA AZEVEDO,0003,1981,2024-04-27,2024-05-04,2024-04-26 00:00:00
ATESTADO MEDICO,23395390055,DIEGO BARBOSA,0103,0051,2024-11-05,2024-11-11,2024-11-05 00:00:00
DECLARACAO,02795017229,MARIA SANTOS,0101,0002,2023-09-30,2023-10-10,2023-09-28 00:00:00
DECLARACAO,95343443117,WELLINGTON CARDOSO,0104,0261,2026-05-24,2026-05-27,2026-05-22 00:00:00
ATESTADO MEDICO,51344758061,CAMILA GOMES,0102,1981,2023-12-23,2023-12-27,2023-12-23 00:00:00
ATESTADO MEDICO,48802188980,VIVIANE MONTEIRO,0103,,2023-10-04,2023-10-10,2023-10-02 00:00:00
ATESTADO MEDICO,42086243456,MARCELO LIMA,1981,0451,2025-06-17,2025-06-20,2025-06-17 00:00:00
ATESTADO MEDICO,13744467341,RODRIGO CAVALCANTI,0003,0002,2026-01-26,2026-02-04,2026-01-26 00:00:00
DECLARACAO,82253522970,DANIEL CARDOSO,2983,0101,2026-09-21,2026-09-25,2026-09-20 00:00:00
ATESTADO MEDICO,48700867861,MARIANA TEIXEIRA,0260,0451,2025-07-11,2025-07-13,2025-07-10 00:00:00
DECLARACAO,02795017229,MARCIO TEIXEIRA,0453,0451,2024-12-12,2024-12-17,2024-12-12 00:00:00
ATESTADO MEDICO,21369249403,AMANDA NASCIMENTO,0451,,2026-01-23,2026-01-25,2026-01-21 00:00:00
DECLARACAO,10175540560,CAROLINA NUNES,1982,0101,2024-08-30,2024-08-31,2024-08-29 00:00:00
ATESTADO MEDICO,79450370702,DIEGO BARBOSA,0100,0261,2023-07-14,2023-07-20,2023-07-12 00:00:00
DECLARACAO,26118795592,LUCAS FERREIRA,1983,0261,2026-06-24,2026-07-02,2026-06-24 00:00:00
DECLARACAO,48351595519,LARISSA CARVALHO,0451,0451,2024-02-03,2024-02-10,2024-02-02 00:00:00
ATESTADO MEDICO,98776748820,DANIEL CARDOSO,1981,0002,2026-02-15,2026-02-21,2026-02-14 00:00:00
ATESTADO MEDICO,34194980808,ANDREIA CUNHA,0450,2981,2026-07-25,2026-07-27,2026-07-23 00:00:00
ATESTADO MEDICO,07893912103,ROGERIO SOUZA,0981,0051,2023-09-06,2023-09-13,2023-09-04 00:00:00
ATESTADO MEDICO,84918401090,RICARDO REZENDE,0002,0002,2023-12-05,2023-12-10,2023-12-03 00:00:00
ATESTADO MEDICO,24046932988,CLAUDIA SOARES,0453,1981,2023-05-10,2023-05-13,2023-05-10 00:00:00
ATESTADO MEDICO,56871009540,CARLA FONSECA,0262,0002,2023-10-30,2023-11-02,2023-10-30 00:00:00
ATESTADO MEDICO,09579806047,LEONARDO DUARTE,0050,0451,2026-04-26,2026-05-06,2026-04-26 00:00:00
ATESTADO MEDICO,66807053630,VANESSA PIRES,0050,2981,2023-02-16,2023-02-26,2023-02-15 00:00:00
ATESTADO MEDICO,23395390055,LETICIA PINTO,0980,,2025-11-12,2025-11-20,2025-11-12 00:00:00
DECLARACAO,61044572078,CLAUDIO FERREIRA,0452,0002,2026-12-05,2026-12-14,2026-12-05 00:00:00
ATESTADO MEDICO,09352413105,BARBARA SILVA,0104,1981,2026-09-09,2026-09-11,2026-09-07 00:00:00
DECLARACAO,76158634816,ROBERTO CARVALHO,0050,0451,2023-10-30,2023-11-04,2023-10-30 00:00:00
DECLARACAO,36519694525,NATALIA CAMPOS,0004,,2026-07-28,2026-08-02,2026-07-26 00:00:00
DECLARACAO,77558480949,VIVIANE MONTEIRO,0260,0101,2024-12-10,2024-12-20,2024-12-09 00:00:00
ATESTADO MEDICO,80716237768,CAROLINA CAMPOS,0001,0261,2025-08-19,2025-08-26,2025-08-17 00:00:00
DECLARACAO,46431421701,PATRICIA AZEVEDO,0101,1981,2025-07-03,2025-07-07,2025-07-01 00:00:00
ATESTADO MEDICO,65488535390,ALINE MORAES,0051,,2025-01-04,2025-01-05,2025-01-03 00:00:00
ATESTADO MEDICO,63401658859,SERGIO RIBAS,0454,0451,2026-08-24,2026-08-29,2026-08-24 00:00:00
DECLARACAO,56711949897,MONICA VIEIRA,0103,1981,2024-01-26,2024-02-01,2024-01-26 00:00:00
ATESTADO MEDICO,44170630440,MARCELO LIMA,0982,0981,2023-11-06,2023-11-10,2023-11-05 00:00:00
ATESTADO MEDICO,60028390202,ANDERSON PEREIRA,1983,0451,2026-04-06,2026-04-08,2026-04-06 00:00:00
DECLARACAO,43758031427,WILLIAN CASTRO,0002,0051,2023-12-31,2024-01-02,2023-12-31 00:00:00
DECLARACAO,45916401914,ROGERIO SOUZA,1980,1981,2023-09-14,2023-09-15,2023-09-14 00:00:00
DECLARACAO,61412523974,ALEX MELO,0450,2981,2025-02-09,2025-02-17,2025-02-08 00:00:00
ATESTADO MEDICO,91787774295,ISABELA CUNHA,0052,0451,2023-07-30,2023-08-07,2023-07-28 00:00:00
ATESTADO MEDICO,76408738354,MARIANA TEIXEIRA,1983,0981,2026-10-22,2026-10-31,2026-10-20 00:00:00
ATESTADO MEDICO,46442316300,TATIANA SILVA,0451,2981,2026-07-08,2026-07-10,2026-07-07 00:00:00
ATESTADO MEDICO,57400952129,LUCIENE MORAES,1983,1981,2026-03-12,2026-03-14,2026-03-10 00:00:00
